   GoodVibes v3.0.1 2024/12/10 16:01:18
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -m -q --spc link --xyz 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for APFD/6-31G(d) level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Enthalpy quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QH = Head-Gordon: Using an RRHO treatement with an approximation term for vibrational energy.
   REF: Li, Y.; Gomes, J.; Sharada, S. M.; Bell, A. T.; Head-Gordon, M. J. Phys. Chem. C 2015, 119, 1840-1850

   Link job: combining final single point energy with thermal corrections.

   Structure                                       E_SPC             E        ZPE         H_SPC      qh-H_SPC        T.S     T.qh-S      G(T)_SPC   qh-G(T)_SPC
   ************************************************************************************************************************************************************
o  0-f                                       -918.877497   -918.877497   0.132116   -918.734272   -918.735656   0.048627   0.046860   -918.782898   -918.782516
o  1778-f                                   -1159.727034  -1159.727034   0.173163  -1159.539395  -1159.541324   0.056199   0.054197  -1159.595593  -1159.595521
o  1826-f                                   -1098.427794  -1098.427794   0.127396  -1098.288177  -1098.289354   0.050337   0.049319  -1098.338514  -1098.338673
o  1827-f                                   -1098.429010  -1098.429010   0.126804  -1098.289529  -1098.291221   0.052814   0.050710  -1098.342343  -1098.341931
o  25-f                                      -971.751650   -971.751650   0.102905   -971.637707   -971.638856   0.048004   0.046862   -971.685711   -971.685718
o  2921-f                                   -1049.129772  -1049.129772   0.139690  -1048.978351  -1048.979401   0.050135   0.048637  -1049.028485  -1049.028037
o  3387-f                                   -1098.423949  -1098.423949   0.126848  -1098.284626  -1098.286013   0.052126   0.050420  -1098.336752  -1098.336433
o  3394-f                                   -1098.431070  -1098.431070   0.126858  -1098.291634  -1098.293200   0.052565   0.050598  -1098.344198  -1098.343798
o  3401-f                                   -1049.134072  -1049.134072   0.139548  -1048.982828  -1048.983909   0.049650   0.048398  -1049.032477  -1049.032307
o  3407-f                                   -1232.418245  -1232.418245   0.097314  -1232.308187  -1232.309860   0.053634   0.051247  -1232.361821  -1232.361107
o  3410-f                                   -1369.853159  -1369.853159   0.106357  -1369.735434  -1369.736539   0.049033   0.047861  -1369.784467  -1369.784401
o  4001-f                                   -1277.800443  -1277.800443   0.190561  -1277.594219  -1277.596471   0.059936   0.057063  -1277.654155  -1277.653534
o  4002-f                                   -1600.722964  -1600.722964   0.187374  -1600.519361  -1600.521677   0.061113   0.058266  -1600.580474  -1600.579943
o  4003-f                                   -1260.344426  -1260.344426   0.248095  -1260.078201  -1260.081114   0.065187   0.061909  -1260.143387  -1260.143023
o  4004-f                                   -1354.162306  -1354.162306   0.219580  -1353.925824  -1353.928231   0.062285   0.059545  -1353.988109  -1353.987776
o  4005-f                                   -1297.234038  -1297.234038   0.231634  -1296.984876  -1296.987536   0.063744   0.060757  -1297.048620  -1297.048293
o  4006-f                                   -1123.314441  -1123.314441   0.135434  -1123.165305  -1123.167180   0.054747   0.052819  -1123.220052  -1123.220000
o  4007-f                                   -1026.077765  -1026.077765   0.113117  -1025.952992  -1025.954110   0.049366   0.048323  -1026.002358  -1026.002433
o  4008-f                                   -1010.047363  -1010.047363   0.125217  -1009.910500  -1009.911714   0.049257   0.048044  -1009.959757  -1009.959758
o  4009-f                                   -1066.345030  -1066.345030   0.145883  -1066.185342  -1066.187016   0.053820   0.052552  -1066.239163  -1066.239568
o  66-f                                      -990.216035   -990.216035   0.135448   -990.067797   -990.069593   0.052939   0.050751   -990.120736   -990.120345
o  82-f                                      -911.631623   -911.631623   0.080204   -911.542299   -911.543058   0.043882   0.042828   -911.586181   -911.585886
o  8-f                                       -895.610952   -895.610952   0.092424   -895.509404   -895.510131   0.043357   0.042586   -895.552762   -895.552717
o  93-f                                     -1107.289202  -1107.289202   0.147500  -1107.127986  -1107.129685   0.053665   0.052391  -1107.181650  -1107.182076
   ************************************************************************************************************************************************************
